# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
fu wu qiao 	負無竅	c=1 d=7.73837e-14 t=56430
fu xian 	復現	c=3 d=0.658213 t=56430
fu yong 	復用	c=3 d=0.431715 t=56430
fu yong qi 	復用器	c=1 d=0.371577 t=56430
fu za 	複雜	c=7 d=1.26472 t=56430
fu za du 	複雜度	c=3 d=0.164474 t=56430
fu za le 	複雜了	c=1 d=0.0590129 t=56430
fu ze ren 	負責人	c=1 d=2.07078e-05 t=56430
fu zhi 	複製	c=23 d=2.0859 t=56430
fu zhi 	賦值	c=3 d=1.3674 t=56430
fu zhi gei 	賦值給	c=1 d=0.0593086 t=56430
fu zhu 	輔助	c=4 d=1.42733 t=56430
fu zi 	父子	c=17 d=1.12574 t=56430
fu zi jie gou 	父子結構	c=1 d=0.00530026 t=56430
gai 	改	c=16 d=1.62388 t=56430
gai 	該	c=55 d=5.05895 t=56430
gai bian 	改變	c=14 d=0.251579 t=56430
gai cha 	改查	c=1 d=0.13332 t=56430
gai cheng 	改成	c=10 d=0.863943 t=56430
gai de 	改的	c=2 d=6.67204e-05 t=56430
gai dong 	改動	c=2 d=0.0987662 t=56430
gai hao 	改好	c=1 d=1.83312e-12 t=56430
gai hao le 	改好了	c=1 d=7.32052e-08 t=56430
gai hui qu 	改回去	c=0 d=1.13373e-07 t=56430
gai hui qu le 	改回去了	c=1 d=1.13941e-06 t=56430
gai jian 	改建	c=6 d=1.31007 t=56430
gai jian 	改鍵	c=1 d=0.143704 t=56430
gai jie dian 	該節點	c=1 d=0.506617 t=56430
gai jin 	改進	c=11 d=0.687317 t=56430
gai ju 	該劇	c=2 d=0.463013 t=56430
gai le 	改了	c=5 d=1.2486 t=56430
gai le xia 	改了下	c=1 d=0.562705 t=56430
gai lu 	該路	c=1 d=0.831104 t=56430
gai ming 	改名	c=3 d=0.501601 t=56430
gai ming zi 	改名字	c=2 d=0.973517 t=56430
gai mu lu 	該目錄	c=1 d=1.60911e-08 t=56430
gai nian 	概念	c=1 d=0.0146253 t=56430
gai shan 	改善	c=1 d=0.970446 t=56430
gai she bei 	該設備	c=1 d=0.00198925 t=56430
gai wan 	改完	c=1 d=1.89842e-12 t=56430
gai wei 	改爲	c=17 d=0.848388 t=56430
gai wen jian 	該文件	c=2 d=1.85781 t=56430
gai xie 	改寫	c=5 d=3.83097 t=56430
gai zao 	改造	c=5 d=0.67923 t=56430
gai zen me 	該怎麼	c=1 d=0.00516939 t=56430
gai zheng 	改正	c=1 d=2.92541e-11 t=56430
gai zhu ti 	該主題	c=1 d=1.01074e-08 t=56430
gai zi duan 	該字段	c=1 d=0.00225411 t=56430
gan 	幹	c=2 d=1.01879 t=56430
gan 	感	c=2 d=0.000191651 t=56430
gan chu 	感觸	c=1 d=0.995012 t=56430
gan cui 	乾脆	c=1 d=0.00242967 t=56430
gan dao 	幹到	c=1 d=0.00869506 t=56430
gan ga 	尷尬	c=3 d=0.000713734 t=56430
gan jing 	乾淨	c=0 d=2.42629e-17 t=56430
gan jue 	感覺	c=36 d=2.39452 t=56430
gan kang 	感康	c=3 d=0.124206 t=56430
gan le 	乾了	c=1 d=0.0786294 t=56430
gan ma 	幹嘛	c=17 d=3.95941 t=56430
gan ma de 	幹嘛的	c=1 d=6.00802e-07 t=56430
gan ma ne 	幹嘛呢	c=0 d=0.00183156 t=56430
gan shen me 	幹什麼	c=1 d=0.0144798 t=56430
gan tan 	感嘆	c=1 d=0.946485 t=56430
gan tan hao 	感歎號	c=1 d=0.909373 t=56430
gan ying 	感應	c=1 d=0.852144 t=56430
gan zhi 	感知	c=0 d=0.011475 t=56430
gan zi 	杆子	c=1 d=0.0333733 t=56430
gang 	剛	c=0 d=1.7646e-06 t=56430
gang 	崗	c=0 d=0.0375311 t=56430
gang da kai 	剛打開	c=1 d=1.77345e-05 t=56430
gang dao 	剛到	c=0 d=0.0644036 t=56430
gang gang 	剛剛	c=21 d=1.84666 t=56430
gang gang gei 	剛剛給	c=1 d=0.305746 t=56430
gang gang hao 	剛剛好	c=1 d=0.000841773 t=56430
gang hao 	剛好	c=4 d=0.99005 t=56430
gang heng 	剛橫	c=1 d=0.000587285 t=56430
gang kai shi 	剛開始	c=1 d=0.429916 t=56430
gang kai shi xia 	剛開始下	c=1 d=0.00339653 t=56430
gang mai 	剛買	c=0 d=0.0946485 t=56430
gang mai de 	剛買的	c=1 d=0.951229 t=56430
gang qu 	港區	c=2 d=5.2542e-08 t=56430
gang si quan 	鋼絲圈	c=1 d=0.0129068 t=56430
gang wan 	港灣	c=1 d=0.0168231 t=56430
gang wei 	崗位	c=4 d=2.64699e-05 t=56430
gao 	告	c=3 d=3.53954e-11 t=56430
gao 	搞	c=7 d=1.13005 t=56430
gao 	糕	c=0 d=0.0522046 t=56430
gao 	高	c=10 d=1.21089 t=56430
gao ban ben 	高版本	c=4 d=0.424836 t=56430
gao bie 	告別	c=1 d=6.34664e-05 t=56430
gao bu dong 	搞不懂	c=2 d=0.697676 t=56430
gao chao 	高潮	c=1 d=0.102797 t=56430
gao de 	搞的	c=1 d=0.000203468 t=56430
gao de 	高德	c=5 d=1.02598 t=56430
gao ding 	搞定	c=1 d=0.00522135 t=56430
gao du 	高度	c=4 d=0.00635546 t=56430
gao feng 	高峯	c=1 d=1 t=56430
gao ge 	搞個	c=1 d=0.000110555 t=56430
gao gen xie 	高跟鞋	c=3 d=2.84594e-09 t=56430
gao ji 	高級	c=1 d=0.913931 t=56430
gao jing 	告警	c=34 d=2.04686 t=56430
gao kao 	高考	c=1 d=6.88343e-19 t=56430
gao le 	高了	c=1 d=0.19398 t=56430
gao liang 	高亮	c=5 d=1.4316 t=56430
gao nei ju 	高內句	c=1 d=3.12837e-06 t=56430
gao sei o 	高塞哦	c=1 d=1.77007e-12 t=56430
gao shua 	高刷	c=1 d=0.97531 t=56430
gao su 	告訴	c=4 d=1.45686 t=56430
gao su wo 	告訴我	c=1 d=0.384812 t=56430
gao wei 	高位	c=3 d=1.06909 t=56430
gao wen 	高溫	c=7 d=0.00117088 t=56430
gao xiao 	搞笑	c=0 d=0.00164078 t=56430
gao xiao de 	搞笑的	c=1 d=0.01649 t=56430
ge 	個	c=33 d=2.84085 t=56430
ge 	歌	c=2 d=0.210507 t=56430
ge 	閣	c=2 d=0.354876 t=56430
ge ge 	各個	c=2 d=0.241046 t=56430
ge ge 	哥哥	c=1 d=0.00927901 t=56430
ge ren 	個人	c=7 d=1.16343 t=56430
ge shi 	格式	c=54 d=4.27073 t=56430
ge shi hua 	格式化	c=17 d=0.922425 t=56430
ge shu 	個數	c=2 d=0.348193 t=56430
ge wei shu 	個位數	c=1 d=0.000166586 t=56430
ge zhong 	各種	c=4 d=0.160481 t=56430
ge zi 	各自	c=3 d=0.108286 t=56430
gei 	給	c=64 d=4.1395 t=56430
gei chu 	給出	c=2 d=0.697746 t=56430
gei de 	給的	c=2 d=0.882568 t=56430
gei dian 	給點	c=1 d=0.0288686 t=56430
gei ding yi 	給定義	c=1 d=0.00292342 t=56430
gei ge 	給個	c=1 d=0.25284 t=56430
gei guo 	給過	c=0 d=0.00376283 t=56430
gei le 	給了	c=1 d=8.27241e-05 t=56430
gei ni 	給你	c=10 d=1.45643 t=56430
gei ni kan 	給你看	c=0 d=0.00158434 t=56430
gei ni kan ge 	給你看個	c=1 d=0.0159229 t=56430
gei ta 	給他	c=1 d=2.81846e-14 t=56430
gei ta 	給她	c=2 d=0.991236 t=56430
gei ta 	給它	c=1 d=0.852144 t=56430
gei wo 	給我	c=5 d=0.0696042 t=56430
gei yi ge 	給一個	c=1 d=0.0154523 t=56430
gen 	根	c=6 d=0.588134 t=56430
gen 	跟	c=28 d=2.8803 t=56430
gen er 	根兒	c=0 d=0.0923153 t=56430
gen jie dian 	根節點	c=3 d=0.0125179 t=56430
gen jie dian 	跟節點	c=1 d=0.00540733 t=56430
gen ju 	根據	c=187 d=5.46277 t=56430
gen ju zhe ge 	根據這個	c=1 d=8.0487e-06 t=56430
gen le 	跟了	c=1 d=0.00256704 t=56430
gen mu lu 	根目錄	c=1 d=6.74024e-07 t=56430
gen ni 	跟你	c=3 d=1.30736 t=56430
gen ni shuo 	跟你說	c=1 d=0.000224867 t=56430
gen shang 	跟上	c=1 d=2.33235e-22 t=56430
gen sui 	跟隨	c=1 d=0.263158 t=56430
gen ta 	跟他	c=2 d=0.338436 t=56430
gen wo 	跟我	c=1 d=0.0123687 t=56430
gen xin 	跟新	c=2 d=0.00319873 t=56430
gen yu ming 	根域名	c=1 d=0.282239 t=56430
gen yuan lai 	跟原來	c=1 d=0.144425 t=56430
gen zhe 	跟着	c=5 d=1.21619 t=56430
gen zhi 	根治	c=1 d=5.54516e-05 t=56430
gen zhuan 	跟轉	c=1 d=0.324652 t=56430
geng 	更	c=14 d=2.23947 t=56430
geng bu gan 	更不敢	c=1 d=0.13332 t=56430
geng cha 	更差	c=2 d=0.286505 t=56430
geng da 	更大	c=1 d=0.362402 t=56430
geng duan 	更短	c=1 d=1.55752e-07 t=56430
geng duo 	更多	c=6 d=0.631284 t=56430
geng fang bian 	更方便	c=2 d=0.878095 t=56430
geng gai 	更改	c=11 d=1.00733 t=56430
geng gao 	更高	c=1 d=0.767206 t=56430
geng hao 	更好	c=13 d=2.80411 t=56430
geng hao chi 	更好翅	c=1 d=0.408608 t=56430
geng hao de 	更好地	c=2 d=0.170941 t=56430
geng hao le 	更好了	c=1 d=8.74013e-05 t=56430
geng hao yong 	更好用	c=1 d=2.8527e-09 t=56430
geng he li 	更合理	c=1 d=0.0026852 t=56430
geng he shi 	更合適	c=4 d=0.551528 t=56430
geng huan 	更換	c=2 d=1.01704 t=56430
geng jian 	更鍵	c=1 d=1.94145e-11 t=56430
geng jian dan 	更簡單	c=4 d=1.27136 t=56430
geng jian dan de 	更簡單地	c=2 d=0.00269869 t=56430
geng jin 	更近	c=0 d=0.0995012 t=56430
geng jin le 	更近了	c=1 d=1 t=56430
geng jing jian 	更精簡	c=1 d=1.68317e-08 t=56430
geng kuai 	更快	c=3 d=0.638355 t=56430
geng kuai de 	更快的	c=1 d=4.46161e-06 t=56430
geng man 	更慢	c=2 d=1.82344 t=56430
geng mei you 	更沒有	c=1 d=0.000170803 t=56430
geng pei 	更配	c=1 d=0.00166156 t=56430
geng qing xi 	更清晰	c=1 d=0.0232837 t=56430
geng shao 	更少	c=0 d=0.0355226 t=56430
geng shao le 	更少了	c=1 d=0.357007 t=56430
geng shu xi 	更熟悉	c=1 d=0.99005 t=56430
geng tian 	更甜	c=1 d=0.00334597 t=56430
geng wan 	更完	c=1 d=3.00826e-16 t=56430
geng wen 	更穩	c=1 d=8.3786e-08 t=56430
geng wen ding 	更穩定	c=1 d=4.57456e-06 t=56430
geng xi yin 	更吸引	c=1 d=0.22091 t=56430
geng xiang xi 	更詳細	c=1 d=0.00257991 t=56430
geng xiao 	更小	c=2 d=0.362402 t=56430
geng xin 	更新	c=142 d=9.03156 t=56430
geng xin de 	更新的	c=2 d=0.365787 t=56430
geng xin le 	更新了	c=3 d=0.603506 t=56430
geng xin ren 	更新人	c=2 d=0.000617396 t=56430
geng xin shi jian 	更新時間	c=1 d=0.000614317 t=56430
geng xin wan 	更新完	c=1 d=0.65377 t=56430
geng xin wan 	更新玩	c=1 d=0.000247277 t=56430
geng xin xia 	更新下	c=1 d=0.315058 t=56430
geng xin zhi 	更新值	c=1 d=0.0639279 t=56430
geng zheng 	更正	c=3 d=0.789953 t=56430
gong 	拱	c=1 d=0.980199 t=56430
gong an 	公安	c=1 d=0.257947 t=56430
gong cheng 	工程	c=1 d=0.00708341 t=56430
gong cheng shi 	工程師	c=6 d=0.114036 t=56430
gong dan 	工單	c=65 d=7.35537 t=56430
gong dian 	供電	c=3 d=0.0209881 t=56430
gong fu 	工服	c=2 d=2.32492e-09 t=56430
gong gao 	公告	c=1 d=0.000405658 t=56430
gong gong 	公共	c=4 d=0.147479 t=56430
gong ji 	攻擊	c=3 d=0.10689 t=56430
gong jiao 	公交	c=2 d=1.95064 t=56430
gong ju 	工具	c=48 d=3.658 t=56430
gong ju bao 	工具包	c=1 d=0.878095 t=56430
gong ju lei 	工具類	c=36 d=3.24291 t=56430
gong ju lei de 	工具類的	c=1 d=0.97531 t=56430
gong ju zhan 	工具站	c=1 d=6.9972e-06 t=56430
gong kai 	公開	c=5 d=0.697682 t=56430
gong neng 	功能	c=52 d=3.19799 t=56430
gong shi 	公式	c=1 d=0.0731678 t=56430
gong si 	公司	c=17 d=1.32711 t=56430
gong si de 	公司的	c=1 d=1.07785e-29 t=56430
gong wan 	貢丸	c=1 d=0.0590129 t=56430
gong wang 	公網	c=10 d=0.432634 t=56430
gong xian 	貢獻	c=1 d=0.683861 t=56430
gong xiang 	共享	c=7 d=0.104587 t=56430
gong xin bu 	工信部	c=3 d=0.847894 t=56430
gong yao 	公鑰	c=10 d=1.06396 t=56430
gong yi 	公益	c=1 d=9.56529e-06 t=56430
gong yi lin 	公益林	c=1 d=1.60468e-05 t=56430
gong yong 	共用	c=4 d=0.202543 t=56430
gong you 	公有	c=1 d=2.13384e-05 t=56430
gong you 	共有	c=1 d=2.1232e-05 t=56430
gong yu 	公寓	c=1 d=0.402524 t=56430
gong zhong 	公衆	c=1 d=1.04674e-08 t=56430
gong zi 	工資	c=2 d=0.118245 t=56430
gong zuo 	工作	c=16 d=1.62588 t=56430
gong zuo bu 	工作簿	c=3 d=2.19072e-09 t=56430
gong zuo de 	工作地	c=1 d=0.995012 t=56430
gong zuo liu 	工作流	c=1 d=3.80647e-20 t=56430
gong zuo qu 	工作去	c=1 d=0.000829244 t=56430
gong zuo ren wu 	工作任務	c=1 d=0.000294568 t=56430
gong zuo ri 	工作日	c=1 d=0.031117 t=56430
gou 	勾	c=2 d=1.72573 t=56430
gou 	夠	c=2 d=0.856475 t=56430
gou bu gou 	夠不夠	c=2 d=2.2504e-06 t=56430
gou da 	夠大	c=1 d=0.904837 t=56430
gou fang fa 	夠方法	c=1 d=0.0263839 t=56430
gou jian 	構建	c=29 d=0.849853 t=56430
gou jian de 	構建的	c=1 d=8.56998e-09 t=56430
gou jian qi 	構建器	c=1 d=0.882497 t=56430
gou le 	夠了	c=2 d=0.771067 t=56430
gou mai 	購買	c=3 d=0.0692522 t=56430
gou shang 	勾上	c=1 d=0.0422141 t=56430
gou tu 	構圖	c=3 d=1.11713 t=56430
gou zao 	構造	c=19 d=1.33689 t=56430
gou zao fang fa 	構造方法	c=4 d=0.076909 t=56430
gou zao fang shi 	構造方式	c=1 d=0.0241131 t=56430
gou zao han shu 	構造函數	c=3 d=0.131792 t=56430
gou zao qi 	構造器	c=4 d=0.153796 t=56430
gou zui 	夠最	c=4 d=0.06735 t=56430
gu 	谷	c=0 d=1.02919e-16 t=56430
gu ding 	固定	c=13 d=1.62382 t=56430
gu ge 	谷歌	c=2 d=0.0985112 t=56430
gu ji 	估計	c=7 d=0.206733 t=56430
gu mu 	古墓	c=0 d=0.0158025 t=56430
gu mu ming shu 	古墓命數	c=1 d=0.158817 t=56430
gu shu 	古樹	c=6 d=0.0582983 t=56430
gu shu ming mu 	古樹名木	c=3 d=0.160428 t=56430
gu yi 	故意	c=2 d=0.0234005 t=56430
gu zhang 	故障	c=11 d=0.0117622 t=56430
gua 	掛	c=6 d=1.00288 t=56430
gua biao 	掛錶	c=3 d=4.62567e-16 t=56430
gua jie 	掛接	c=2 d=0.503163 t=56430
gua le 	掛了	c=4 d=0.631397 t=56430
gua qi 	掛起	c=1 d=2.67226e-05 t=56430
gua zai 	掛載	c=10 d=4.7188 t=56430
guai guai 	怪怪	c=2 d=0.0317456 t=56430
guai guai de 	怪怪的	c=1 d=0.752014 t=56430
guai mai 	拐賣	c=1 d=0.687289 t=56430
guan 	關	c=5 d=0.882497 t=56430
guan bi 	關閉	c=38 d=3.08596 t=56430
guan cha zhe 	觀察者	c=3 d=0.152693 t=56430
guan chuan 	貫穿	c=1 d=0.0471227 t=56430
guan dao 	管道	c=1 d=0.0808629 t=56430
guan de 	管得	c=1 d=0.142274 t=56430
guan de 	關的	c=1 d=0.00299743 t=56430
guan diao 	關掉	c=5 d=0.474734 t=56430
guan diao de 	關掉的	c=1 d=6.55797e-08 t=56430
guan fang 	官方	c=7 d=0.8127 t=56430
guan fang de 	官方的	c=2 d=0.00941925 t=56430
guan huai 	慣壞	c=1 d=0.111359 t=56430
guan ji 	關機	c=2 d=1.2225 t=56430
guan jian 	關鍵	c=2 d=1.09222 t=56430
guan jian ci 	關鍵詞	c=1 d=0.0072265 t=56430
guan jian de 	關鍵的	c=1 d=2.85319e-11 t=56430
guan jian shi 	關鍵是	c=1 d=0.021068 t=56430
guan jian zi 	關鍵字	c=9 d=0.534939 t=56430
guan le 	關了	c=4 d=0.937068 t=56430
guan li 	管理	c=43 d=3.93585 t=56430
guan li de 	管理的	c=2 d=0.923116 t=56430
guan li duan 	管理段	c=1 d=1.83724e-09 t=56430
guan li le 	管理了	c=1 d=0.323033 t=56430
guan li qi 	管理器	c=6 d=0.869358 t=56430
guan li yuan 	管理員	c=2 d=0.00606634 t=56430
guan lian 	關聯	c=38 d=2.02148 t=56430
guan lian biao 	關聯表	c=4 d=5.36116e-11 t=56430
guan lian de 	關聯的	c=1 d=0.00398587 t=56430
guan meng 	關夢	c=1 d=1.22582e-13 t=56430
guan ren 	官人	c=1 d=0.562705 t=56430
guan wang 	官網	c=3 d=0.0730402 t=56430
guan wang 	觀望	c=1 d=0.00873865 t=56430
guan wei 	官位	c=1 d=6.45923e-06 t=56430
guan xi 	關係	c=38 d=1.71985 t=56430
guan xin 	關心	c=1 d=0.0417941 t=56430
guan yu 	關於	c=2 d=0.690734 t=56430
guan zhu 	關注	c=4 d=2.18419 t=56430
guang 	光	c=1 d=0.0096577 t=56430
guang biao 	光標	c=8 d=0.354352 t=56430
guang bo 	廣播	c=29 d=0.339054 t=56430
guang gao 	廣告	c=2 d=0.963881 t=56430
guang gu 	光谷	c=1 d=6.82444e-06 t=56430
guang gu chuang ye jie 	光谷創業街	c=1 d=1.03435e-15 t=56430
guang mao 	光貓	c=2 d=0.23255 t=56430
guang mao 	廣袤	c=1 d=0.111359 t=56430
guang xian 	光線	c=1 d=4.11999e-10 t=56430
gui 	桂	c=2 d=0.869358 t=56430
gui 	貴	c=1 d=0.0426384 t=56430
gui dang 	歸檔	c=4 d=0.21143 t=56430
gui ding 	規定	c=2 d=0.729818 t=56430
gui fan 	規範	c=19 d=1.31905 t=56430
gui gui 	貴貴	c=1 d=4.91979e-09 t=56430
gui hua 	規劃	c=1 d=3.97207e-21 t=56430
gui ji 	軌跡	c=1 d=6.16746e-21 t=56430
gui ju 	規矩	c=1 d=0.157237 t=56430
gui mo 	規模	c=1 d=0.133989 t=56430
gui qi lin 	桂麒麟	c=1 d=0.299692 t=56430
gui yi dian 	貴一點	c=1 d=4.48398e-06 t=56430
gui ze 	規則	c=130 d=5.93608 t=56430
gun dong 	滾動	c=4 d=0.47001 t=56430
gun lun 	滾輪	c=3 d=0.00489275 t=56430
guo 	國	c=3 d=1.85642 t=56430
guo 	果	c=2 d=0.148396 t=56430
guo 	過	c=15 d=0.904982 t=56430
guo 	郭	c=1 d=6.84444e-11 t=56430
guo bao 	過保	c=2 d=0.0102618 t=56430
guo biao 	國標	c=4 d=1.14719 t=56430
guo chang 	過長	c=3 d=1.53315 t=56430
guo che 	過車	c=2 d=0.119169 t=56430
guo cheng 	過程	c=27 d=4.16634 t=56430
guo cheng zhong 	過程中	c=1 d=0.0001441 t=56430
guo da 	過大	c=1 d=0.0536647 t=56430
guo de 	過得	c=1 d=0.00416933 t=56430
guo di 	過低	c=1 d=5.72883e-06 t=56430
guo duo 	過多	c=6 d=0.087624 t=56430
guo gao 	過高	c=2 d=1.05641 t=56430
guo jia ji 	國家級	c=1 d=8.85082e-06 t=56430
guo ke 	果殼	c=1 d=0.158025 t=56430
guo lai 	過來	c=4 d=0.694412 t=56430
guo lai a 	過來啊	c=1 d=0.188247 t=56430
guo le 	過了	c=1 d=0.000163287 t=56430
guo leng 	過冷	c=2 d=1.8853e-11 t=56430
guo lin 	過淋	c=1 d=0.123687 t=56430
guo lin zhang 	國林長	c=1 d=0.249075 t=56430
guo lv 	過濾	c=23 d=1.05351 t=56430
guo lv diao 	過濾掉	c=2 d=0.237868 t=56430
guo nei 	國內	c=11 d=0.548399 t=56430
guo nei de 	國內的	c=1 d=1.96979e-05 t=56430
guo qi 	國企	c=2 d=0.431711 t=56430
guo qi 	過期	c=3 d=0.891464 t=56430
guo ran 	果然	c=1 d=0.0275983 t=56430
guo re 	過熱	c=5 d=0.71177 t=56430
guo shen 	過深	c=1 d=0.00184551 t=56430
guo wai 	國外	c=13 d=0.0222761 t=56430
guo wai de 	國外的	c=3 d=0.00135419 t=56430
guo yi hui 	過一會	c=1 d=1.80927e-05 t=56430
guo yu 	過於	c=1 d=0.348192 t=56430
guo zai 	過載	c=1 d=0.00514361 t=56430
ha 	哈	c=1 d=2.23206e-05 t=56430
ha ha 	哈哈	c=24 d=4.31925 t=56430
ha ha ha 	哈哈哈	c=1 d=0.0158434 t=56430
ha xi 	哈希	c=23 d=2.7494 t=56430
ha xi zhi 	哈希值	c=18 d=3.38215 t=56430
hai 	孩	c=2 d=0.225816 t=56430
hai 	還	c=29 d=1.81141 t=56430
hai ba 	海拔	c=6 d=0.0391165 t=56430
hai bu cuo 	還不錯	c=2 d=1.89137 t=56430
hai bu neng 	還不能	c=1 d=0.000471307 t=56430
hai dei 	還得	c=1 d=0.00010569 t=56430
hai er 	海爾	c=3 d=0.359029 t=56430
hai gan 	還敢	c=2 d=1.14819 t=56430
hai gei wo 	還給我	c=1 d=0.57695 t=56430
hai hao 	還好	c=8 d=0.0898315 t=56430
hai hao ba 	還好吧	c=2 d=0.0773047 t=56430
hai hao zao 	還好早	c=1 d=0.0306538 t=56430
hai hui 	還會	c=3 d=1.66335 t=56430
hai kan 	還看	c=1 d=3.3552e-06 t=56430
hai kan dao 	還看到	c=1 d=4.92063e-11 t=56430
hai kang 	海康	c=13 d=0.878353 t=56430
hai kang cuo wu 	海康錯誤	c=1 d=0.232236 t=56430
hai kang ping tai 	海康平臺	c=1 d=0.00456197 t=56430
hai kao lv guo 	還考慮過	c=1 d=0.856415 t=56430
hai ke yi 	還可以	c=1 d=0.00316691 t=56430
hai lai 	還來	c=0 d=0.00338776 t=56430
hai lai ma 	還來嗎	c=1 d=0.0340475 t=56430
hai mei 	還沒	c=7 d=2.03393 t=56430
hai mei you 	還沒有	c=1 d=0.0234005 t=56430
hai mei zhuan 	還沒轉	c=1 d=5.93591e-12 t=56430
hai neng 	還能	c=16 d=1.39962 t=56430
hai ni 	害你	c=1 d=4.20322e-10 t=56430
hai pa 	害怕	c=2 d=0.243875 t=56430
hai pa 	還怕	c=2 d=0.438235 t=56430
hai shang 	海上	c=0 d=2.32632e-22 t=56430
hai shi 	還是	c=92 d=4.85432 t=56430
hai shi bu dao 	還是不到	c=1 d=0.254107 t=56430
hai shi dei 	還是得	c=1 d=0.000520875 t=56430
hai tao 	海淘	c=3 d=2.90624e-21 t=56430
hai tao 	海陶	c=1 d=9.04193e-22 t=56430
hai ting 	還挺	c=3 d=0.07502 t=56430
hai ting hao wan 	還挺好玩	c=1 d=6.20913e-12 t=56430
hai ting kuai 	還挺快	c=1 d=0.0720785 t=56430
hai wai 	海外	c=1 d=0.000370744 t=56430
hai wai ban 	海外版	c=1 d=0.000147011 t=56430
hai wei 	還未	c=1 d=0.65377 t=56430
hai xiang 	還想	c=4 d=1.027 t=56430
hai xiang shuo 	還想說	c=1 d=0.148823 t=56430
hai xing 	還行	c=3 d=0.341479 t=56430
hai xu yao 	還需要	c=6 d=0.586929 t=56430
hai yao 	還要	c=4 d=0.989604 t=56430
hai yao diao yong 	還要調用	c=1 d=0.00367942 t=56430
hai yi wei 	還以爲	c=3 d=0.985112 t=56430
hai yong de 	還用的	c=1 d=0.951229 t=56430
hai you 	還有	c=34 d=3.23859 t=56430
hai you dian 	還有點	c=1 d=0.585669 t=56430
hai you mei you 	還有沒有	c=3 d=0.0228227 t=56430
hai yu 	海魚	c=1 d=0.951229 t=56430
hai zai 	還在	c=7 d=1.45651 t=56430
hai zhao dao 	還找到	c=1 d=3.9571e-06 t=56430
hai zhen 	還真	c=0 d=5.2493e-08 t=56430
hai zhen neng yong 	還真能用	c=1 d=5.27562e-07 t=56430
han 	韓	c=2 d=0.00932553 t=56430
han bao 	漢堡	c=1 d=1.15184e-16 t=56430
han dong 	寒冬	c=1 d=0.00290884 t=56430
han kou 	漢口	c=1 d=2.6e-06 t=56430
han shu 	函數	c=40 d=4.06008 t=56430
han shu shi 	函數式	c=10 d=1.62133 t=56430
han zi 	漢字	c=2 d=0.955997 t=56430
hang 	行	c=8 d=1.29468 t=56430
hang kong 	航空	c=4 d=0.127835 t=56430
hang kong da xue 	航空大學	c=1 d=0.122456 t=56430
hang nei 	行內	c=2 d=0.605439 t=56430
hang qing 	行情	c=1 d=0.115903 t=56430
hang shu 	行數	c=9 d=3.47343 t=56430
hang xing 	航行	c=1 d=0.115325 t=56430
hang ye 	行業	c=2 d=0.248051 t=56430
hao 	好	c=70 d=6.11152 t=56430
hao 	浩	c=1 d=0.402524 t=56430
hao 	號	c=55 d=7.51828 t=56430
hao ba 	好吧	c=7 d=2.60665 t=56430
hao bang 	好棒	c=1 d=0.697676 t=56430
hao ben 	好笨	c=2 d=0.00290884 t=56430
hao cha 	好差	c=1 d=3.32984e-05 t=56430
hao chan 	好饞	c=1 d=1.27211e-08 t=56430
hao chi 	好喫	c=1 d=3.02179e-10 t=56430
hao chi de 	好喫的	c=1 d=0.00283702 t=56430
hao chou 	好醜	c=0 d=0.00746459 t=56430
hao chou a 	好醜啊	c=2 d=0.07502 t=56430
hao chu 	好處	c=3 d=0.631284 t=56430
hao dai 	好歹	c=1 d=0.900324 t=56430
hao de 	好的	c=12 d=2.97337 t=56430
hao de ba 	好的吧	c=1 d=1 t=56430
hao dian 	好點	c=3 d=0.178173 t=56430
hao dian 	耗電	c=2 d=0.00387315 t=56430
hao duo 	好多	c=3 d=0.000209665 t=56430
hao duo yao 	好多藥	c=1 d=0.000953854 t=56430
hao e 	好餓	c=1 d=1 t=56309
hao e xin 	好噁心	c=1 d=0.00332928 t=56430
hao fang fa 	好方法	c=1 d=7.59031e-22 t=56430
hao gao xiao 	好搞笑	c=1 d=0.0162445 t=56430
hao guai 	好乖	c=1 d=0.00404611 t=56430
hao gui 	好貴	c=3 d=0.965605 t=56430
hao hao 	好好	c=3 d=1.22281 t=56430
hao jin 	耗盡	c=1 d=0.0124629 t=56430
hao jiu 	好久	c=1 d=0.0850088 t=56430
hao kan 	好看	c=5 d=1.40411 t=56430
hao ke ai 	好可愛	c=0 d=0.00179529 t=56430
hao ke ai o 	好可愛哦	c=1 d=0.0180429 t=56430
hao ke lian 	好可憐	c=1 d=0.0198411 t=56430
hao kuai 	好快	c=3 d=0.97092 t=56430
hao kuai o 	好快哦	c=1 d=0.0218184 t=56430
hao kun 	好睏	c=1 d=0.802519 t=56430
hao la 	好啦	c=1 d=0.0119145 t=56430
hao le 	好了	c=17 d=0.559915 t=56430
hao leng 	好冷	c=1 d=0.839457 t=56430
hao liu chang 	好流暢	c=1 d=1.07247e-29 t=56430
hao ma 	好嗎	c=1 d=0.00900478 t=56430
hao ma 	號碼	c=2 d=0.00120945 t=56430
hao ma fan 	好麻煩	c=1 d=0.161313 t=56430
hao ma fan o 	好麻煩哦	c=1 d=0.67032 t=56430
hao man 	好慢	c=1 d=0.00308871 t=56430
