# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5872
#@/user_id	archlinux
a 	啊	c=6 d=0.914247 t=5872
fu za 	複雜	c=1 d=0.33454 t=5872
fu zhi 	複製	c=7 d=0.291067 t=5872
fu zhi 	賦值	c=0 d=0.00590128 t=5872
fu zhi gei 	賦值給	c=1 d=0.0593086 t=5872
fu zi 	父子	c=1 d=0.348192 t=5872
gai 	改	c=5 d=1.02782 t=5872
gai 	該	c=9 d=0.216757 t=5872
gai bian 	改變	c=2 d=0.0038611 t=5872
gai cha 	改查	c=1 d=0.13332 t=5872
gai de 	改的	c=1 d=6.67204e-05 t=5872
gai jian 	改建	c=6 d=1.31007 t=5872
gai jian 	改鍵	c=1 d=0.143704 t=5872
gai jie dian 	該節點	c=1 d=0.506617 t=5872
gai wei 	改爲	c=2 d=0.143704 t=5872
gan 	幹	c=1 d=0.873716 t=5872
gan ga 	尷尬	c=2 d=0.000713734 t=5872
gan jue 	感覺	c=6 d=0.330684 t=5872
gan le 	乾了	c=1 d=0.0116203 t=5872
gan ma 	幹嘛	c=4 d=0.0732709 t=5872
gan ma ne 	幹嘛呢	c=0 d=0.00183156 t=5872
gan shen me 	幹什麼	c=1 d=0.0144798 t=5872
gang 	崗	c=0 d=0.0375311 t=5872
gang gang 	剛剛	c=1 d=0.156453 t=5872
gang gang hao 	剛剛好	c=1 d=0.000841773 t=5872
gang hao 	剛好	c=2 d=0.99005 t=5872
gang kai shi 	剛開始	c=1 d=0.351692 t=5872
gang wan 	港灣	c=1 d=0.0168231 t=5872
gao 	高	c=1 d=0.211189 t=5872
gao bu dong 	搞不懂	c=1 d=0.697676 t=5872
gao chao 	高潮	c=1 d=0.102797 t=5872
gao feng 	高峯	c=1 d=1 t=5872
gao jing 	告警	c=1 d=0.826959 t=5872
gao liang 	高亮	c=3 d=0.643549 t=5872
gao shua 	高刷	c=1 d=0.97531 t=5872
gao su 	告訴	c=1 d=0.00013776 t=5872
ge 	個	c=4 d=1.18694 t=5872
ge 	閣	c=1 d=0.098766 t=5872
ge ren 	個人	c=1 d=0.110251 t=5872
ge shi 	格式	c=4 d=0.0551894 t=5872
ge shi hua 	格式化	c=6 d=0.00270556 t=5872
ge shu 	個數	c=1 d=0.348193 t=5872
ge zi 	各自	c=2 d=0.108286 t=5872
gei 	給	c=3 d=0.0721025 t=5872
gei de 	給的	c=1 d=0.357007 t=5872
gei le 	給了	c=1 d=8.27241e-05 t=5872
gei ni 	給你	c=1 d=0.00128115 t=5872
gei wo 	給我	c=1 d=0.0350844 t=5872
gen 	跟	c=6 d=1.15453 t=5872
gen ju 	根據	c=20 d=2.3434 t=5872
gen yuan lai 	跟原來	c=1 d=0.144425 t=5872
gen zhe 	跟着	c=1 d=0.327915 t=5872
geng duo 	更多	c=1 d=0.631284 t=5872
geng gai 	更改	c=2 d=0.207469 t=5872
geng jin 	更近	c=0 d=0.0995012 t=5872
geng jin le 	更近了	c=1 d=1 t=5872
geng kuai 	更快	c=1 d=0.00115923 t=5872
geng pei 	更配	c=1 d=0.00166156 t=5872
geng xin 	更新	c=12 d=2.73207 t=5872
geng xin wan 	更新玩	c=1 d=0.000247277 t=5872
geng zheng 	更正	c=2 d=0.0259663 t=5872
gong cheng 	工程	c=1 d=0.00708341 t=5872
gong jiao 	公交	c=2 d=1.95064 t=5872
gong ju 	工具	c=5 d=0.134983 t=5872
gong ju lei 	工具類	c=3 d=3.00328e-05 t=5872
gong neng 	功能	c=1 d=0.141564 t=5872
gong si 	公司	c=1 d=1.85988e-06 t=5872
gong xian 	貢獻	c=1 d=0.683861 t=5872
gong yong 	共用	c=2 d=0.202543 t=5872
gong zuo 	工作	c=5 d=0.143401 t=5872
gong zuo qu 	工作去	c=1 d=0.000829244 t=5872
gou jian 	構建	c=2 d=0.0175528 t=5872
gou zao 	構造	c=1 d=0.0455019 t=5872
gu ding 	固定	c=1 d=0.0488012 t=5872
gu ji 	估計	c=1 d=8.35555e-05 t=5872
guan 	關	c=2 d=0.882497 t=5872
guan bi 	關閉	c=4 d=0.0562892 t=5872
guan jian zi 	關鍵字	c=5 d=0.0204107 t=5872
guan li 	管理	c=8 d=0.625658 t=5872
guan li yuan 	管理員	c=2 d=0.00606634 t=5872
guan xi 	關係	c=4 d=0.19593 t=5872
guang biao 	光標	c=4 d=0.354352 t=5872
gui fan 	規範	c=4 d=0.0489648 t=5872
gui ze 	規則	c=5 d=0.0186276 t=5872
gun dong 	滾動	c=1 d=0.47001 t=5872
guo 	過	c=1 d=0.0160829 t=5872
guo che 	過車	c=2 d=0.119169 t=5872
guo cheng 	過程	c=2 d=1.03873 t=5872
guo da 	過大	c=1 d=0.0536647 t=5872
guo lv 	過濾	c=1 d=0.172045 t=5872
guo qi 	國企	c=1 d=0.00010569 t=5872
guo qi 	過期	c=1 d=0.00010622 t=5872
ha ha 	哈哈	c=4 d=2.4754 t=5872
hai 	還	c=2 d=0.99005 t=5872
hai er 	海爾	c=2 d=0.359029 t=5872
hai hao 	還好	c=1 d=0.0122161 t=5872
hai kan 	還看	c=1 d=3.3552e-06 t=5872
hai kang 	海康	c=10 d=0.725836 t=5872
hai kang cuo wu 	海康錯誤	c=1 d=0.232236 t=5872
hai kang ping tai 	海康平臺	c=1 d=0.00456197 t=5872
hai mei 	還沒	c=1 d=2.00473e-06 t=5872
hai shi 	還是	c=1 d=0.398519 t=5872
hai xiang 	還想	c=2 d=1.027 t=5872
hai you 	還有	c=2 d=1.00999 t=5872
han shu 	函數	c=1 d=0.0393602 t=5872
hang 	行	c=1 d=0.0538631 t=5872
hang kong 	航空	c=3 d=0.127835 t=5872
hang nei 	行內	c=2 d=0.605439 t=5872
hang shu 	行數	c=1 d=0.715338 t=5872
hao 	好	c=2 d=0.166127 t=5872
hao 	號	c=6 d=0.18865 t=5872
hao ba 	好吧	c=1 d=0.0112769 t=5872
hao de 	好的	c=2 d=0.300172 t=5872
hao gui 	好貴	c=1 d=0.965605 t=5872
hao hao 	好好	c=2 d=0.410655 t=5872
hao jiu 	好久	c=1 d=0.0850088 t=5872
hao ke ai 	好可愛	c=0 d=0.00179529 t=5872
hao ke ai o 	好可愛哦	c=1 d=0.0180429 t=5872
hao ke lian 	好可憐	c=1 d=0.0198411 t=5872
hao le 	好了	c=1 d=0.000563663 t=5872
hao ma 	號碼	c=0 d=0.00120945 t=5872
hao miao 	毫秒	c=1 d=0.00477195 t=5872
hao o 	好哦	c=4 d=0.802756 t=5872
hao qi guai 	好奇怪	c=1 d=0.0867261 t=5872
hao qiang 	好強	c=1 d=0.181772 t=5872
hao xiang 	好像	c=4 d=0.406614 t=5872
hao xiang 	好想	c=0 d=0.00295994 t=5872
hao xiang wo 	好想我	c=1 d=0.0297478 t=5872
hao yang 	好癢	c=1 d=0.00673795 t=5872
hao yong 	好用	c=1 d=0.960789 t=5872
hao yuan 	好遠	c=1 d=7.10295e-06 t=5872
he 	合	c=1 d=5.80039e-05 t=5872
he 	和	c=10 d=0.371799 t=5872
he 	鶴	c=-1 d=6.26726e-05 t=5872
he bing 	合併	c=2 d=0.166127 t=5872
he he 	呵呵	c=4 d=0.878095 t=5872
he zuo 	合作	c=2 d=0.200528 t=5872
hei dong 	黑洞	c=1 d=0.00530026 t=5872
hei hei 	嘿嘿	c=1 d=0.000555857 t=5872
hei ming dan 	黑名單	c=2 d=0.115916 t=5872
hen da 	很大	c=0 d=8.35555e-06 t=5872
hen da ke neng 	很大可能	c=1 d=8.39743e-05 t=5872
hen ka 	很卡	c=1 d=0.0229371 t=5872
hen ma fan 	很麻煩	c=1 d=1.47774e-06 t=5872
hen ming xian 	很明顯	c=1 d=0.0211736 t=5872
hen nan shou 	很難受	c=1 d=2.34084e-06 t=5872
hen shuang 	很爽	c=1 d=0.22091 t=5872
heng zuo biao 	橫座標	c=1 d=0.0393602 t=5872
hong 	宏	c=15 d=0.424357 t=5872
hou 	後	c=5 d=3.05905 t=5872
hou duan 	後端	c=4 d=0.397648 t=5872
hou san wei 	後三位	c=1 d=0.00814786 t=5872
hu 	戶	c=1 d=0.000488095 t=5872
hu lve 	忽略	c=4 d=0.429557 t=5872
hu xiang 	互相	c=2 d=0.0646845 t=5872
hu xiang tong bu 	互相同步	c=1 d=0.0520787 t=5872
hu zhao 	護照	c=1 d=0.00298248 t=5872
hua 	化	c=0 d=0.00247235 t=5872
hua 	話	c=0 d=0.00246002 t=5872
hua fei 	話費	c=0 d=0.0247833 t=5872
hua yuan 	花園	c=0 d=0.0810584 t=5872
hua yuan ming chao 	花園明朝	c=1 d=0.814647 t=5872
huai 	壞	c=1 d=2.09701e-06 t=5872
huai diao 	壞掉	c=1 d=1.34381e-06 t=5872
huai le 	壞了	c=1 d=0.458406 t=5872
huan 	換	c=0 d=0.0169483 t=5872
huan cheng 	換成	c=3 d=0.200021 t=5872
huan chong qu 	緩衝區	c=3 d=0.0023872 t=5872
huan cun 	緩存	c=6 d=1.20892 t=5872
huan hang 	換行	c=1 d=0.000858778 t=5872
huan jin qu 	換進去	c=1 d=0.170333 t=5872
huan jing 	環境	c=8 d=3.28053 t=5872
huang 	黃	c=1 d=0.100259 t=5872
hui 	回	c=1 d=0.0387742 t=5872
hui 	會	c=6 d=1.00404 t=5872
hui diao 	回調	c=1 d=0.00256705 t=5872
hui fang 	回放	c=2 d=0.0498654 t=5872
hui fu 	回覆	c=4 d=0.0290899 t=5872
hui fu 	恢復	c=0 d=0.00584257 t=5872
hui fu hou 	恢復後	c=1 d=0.0587185 t=5872
hui hua 	回話	c=1 d=0.00260584 t=5872
hui jia 	回家	c=2 d=0.941774 t=5872
hui jia nong 	回家弄	c=1 d=0.000724521 t=5872
hui lai ba 	回來吧	c=1 d=0.0237541 t=5872
hui luan ma 	會亂碼	c=1 d=0.158026 t=5872
hui se 	灰色	c=1 d=0.755784 t=5872
hui shuo 	回溯	c=1 d=0.00657159 t=5872
hui ying 	回應	c=0 d=0.00200405 t=5872
hui ying wo 	回應我	c=1 d=0.0201409 t=5872
hui yong 	會用	c=1 d=0.000587285 t=5872
hui zi dong 	會自動	c=1 d=0.000672169 t=5872
huo 	或	c=17 d=0.996447 t=5872
huo dong 	活動	c=1 d=0.251579 t=5872
huo qu 	獲取	c=23 d=2.44131 t=5872
huo zhe 	或者	c=2 d=0.000608026 t=5872
ji 	及	c=4 d=0.0434459 t=5872
ji 	機	c=6 d=0.474734 t=5872
ji bie 	級別	c=3 d=0.0296961 t=5872
ji chang 	機場	c=1 d=0.0230521 t=5872
ji cheng 	繼承	c=1 d=0.0106734 t=5872
ji cheng 	集成	c=1 d=0.0106202 t=5872
ji chu 	基礎	c=6 d=0.323959 t=5872
ji chu fu wu 	基礎服務	c=1 d=0.00096344 t=5872
ji chu lei 	基礎類	c=1 d=0.0193512 t=5872
ji cun 	寄存	c=1 d=0.00628242 t=5872
ji cun qi 	寄存器	c=17 d=0.691159 t=5872
ji he 	集合	c=18 d=9.26697 t=5872
ji lu 	記錄	c=19 d=1.71327 t=5872
ji qi 	及其	c=2 d=0.923135 t=5872
ji qiao 	技巧	c=56 d=6.4101 t=5872
ji suan 	計算	c=2 d=0.0118658 t=5872
ji yu 	基於	c=1 d=0.00138093 t=5872
jia 	加	c=2 d=0.362514 t=5872
jia ban 	加班	c=1 d=0.0347353 t=5872
jia gou 	架構	c=1 d=0.0212797 t=5872
jia hao 	加號	c=1 d=0.00810724 t=5872
jia le 	加了	c=2 d=0.289725 t=5872
jia le ge 	加了閣	c=1 d=0.25284 t=5872
jia ru 	加入	c=1 d=0.0297478 t=5872
jia shang 	加上	c=1 d=0.0575558 t=5872
jian 	見	c=1 d=0.00324708 t=5872
jian 	鍵	c=2 d=1.06314 t=5872
jian 	間	c=2 d=0.00472143 t=5872
jian ce 	檢測	c=0 d=0.00550232 t=5872
jian ce dao 	檢測到	c=1 d=0.055299 t=5872
jian cha 	檢查	c=3 d=0.816402 t=5872
jian cha qi 	檢查器	c=1 d=0.0117371 t=5872
jian dan 	簡單	c=1 d=0.878095 t=5872
jian duan 	簡短	c=1 d=0.882497 t=5872
jian gui 	見鬼	c=1 d=0.257947 t=5872
jian kong 	監控	c=1 d=0.831104 t=5872
jian li 	建立	c=1 d=0.0731678 t=5872
jian mao 	鍵帽	c=1 d=0.000508015 t=5872
jian pan 	鍵盤	c=1 d=0.141564 t=5872
jian ti 	簡體	c=1 d=0.895834 t=5872
jian tie ban 	剪貼板	c=2 d=0.0125619 t=5872
jian tie bing 	間鐵餅	c=1 d=0.00711892 t=5872
jiang 	將	c=12 d=0.462146 t=5872
jiang jiu zhe 	將就着	c=1 d=0.209088 t=5872
jiao 	叫	c=1 d=0.00187793 t=5872
jiao 	覺	c=0 d=0.019205 t=5872
jiao ben 	腳本	c=1 d=0.0695994 t=5872
jiao hu 	交互	c=3 d=0.117068 t=5872
jiao huan 	交換	c=2 d=0.628458 t=5872
jiao ta 	叫她	c=2 d=0.0427191 t=5872
jiao yan 	校驗	c=4 d=0.191643 t=5872
jie 	接	c=0 d=0.0111359 t=5872
jie dian 	節點	c=0 d=0.1971 t=5872
jie ding 	界定	c=2 d=0.251832 t=5872
jie gou 	結構	c=2 d=0.923116 t=5872
jie guo 	結果	c=12 d=0.906507 t=5872
jie jue 	解決	c=2 d=0.412153 t=5872
jie kou 	接口	c=67 d=4.2898 t=5872
jie kuang zao 	接狂躁	c=1 d=0.111917 t=5872
jie shi 	結識	c=1 d=0.228779 t=5872
jie shou 	接受	c=4 d=0.316754 t=5872
jie shu 	結束	c=3 d=0.223574 t=5872
jie ti 	接替	c=1 d=0.0569831 t=5872
jie tu 	截圖	c=1 d=0.29671 t=5872
jie wei 	結尾	c=1 d=0.310367 t=5872
jie xia lai 	接下來	c=1 d=0.0144076 t=5872
jin 	進	c=1 d=0.635605 t=5872
jin bu lai 	進不來	c=1 d=8.43952e-05 t=5872
jin chu 	進出	c=3 d=0.110547 t=5872
jin du 	進度	c=1 d=0.142987 t=5872
jin liang 	儘量	c=0 d=0.00234005 t=5872
jin nian 	今年	c=1 d=0.034562 t=5872
jin qu 	進去	c=0 d=0.0169483 t=5872
jin ri 	今日	c=2 d=0.0743237 t=5872
jin ru 	進入	c=5 d=0.270544 t=5872
jin tian 	今天	c=2 d=0.127114 t=5872
jin xing 	進行	c=10 d=0.33975 t=5872
jin yong 	禁用	c=5 d=0.0158036 t=5872
jing 	經	c=5 d=0.73129 t=5872
jing chang 	經常	c=2 d=0.0186856 t=5872
jing dong 	京東	c=2 d=0.00625109 t=5872
jing du 	精度	c=4 d=0.373639 t=5872
jing que 	精確	c=1 d=0.0015648 t=5872
jing xiang 	鏡像	c=7 d=0.136046 t=5872
jiu 	就	c=17 d=2.48542 t=5872
jiu 	舊	c=1 d=0.402524 t=5872
jiu ding zhe liang ge 	就定這兩個	c=1 d=0.615697 t=5872
jiu hui 	就會	c=0 d=0.00187793 t=5872
jiu hui jiao 	就會叫	c=1 d=0.0188734 t=5872
jiu shi 	就是	c=8 d=0.339602 t=5872
jiu shou quan 	就授權	c=1 d=0.400517 t=5872
jiu xing 	就行	c=1 d=0.293758 t=5872
jiu you 	就有	c=2 d=0.519442 t=5872
ju 	句	c=1 d=0.00189223 t=5872
ju ran 	居然	c=2 d=0.311923 t=5872
ju ran jin 	居然進	c=1 d=0.472367 t=5872
ju ti 	具體	c=1 d=0.00388746 t=5872
ju yu wang 	局域網	c=1 d=1.625e-06 t=5872
ju zhu zheng 	居住證	c=1 d=0.00299743 t=5872
ju zi 	句子	c=1 d=0.00166989 t=5872
jun 	均	c=3 d=0.191995 t=5872
jun dui 	軍隊	c=1 d=0.104874 t=5872
ka 	卡	c=2 d=0.00946646 t=5872
ka dun 	卡噸	c=1 d=5.60089e-05 t=5872
ka dun 	卡頓	c=1 d=5.62896e-05 t=5872
ka kou 	卡口	c=5 d=0.463355 t=5872
ka kou 	卡扣	c=1 d=0.108067 t=5872
kai 	開	c=1 d=2.37622e-06 t=5872
kai fa 	開發	c=17 d=1.51185 t=5872
kai fa huan jing 	開發環境	c=1 d=0.67032 t=5872
kai guan 	開關	c=3 d=0.094814 t=5872
kai shi 	開始	c=2 d=0.222343 t=5872
kai xiao 	開銷	c=1 d=0.0531308 t=5872
kan 	看	c=2 d=0.035263 t=5872
kan bu qing 	看不清	c=1 d=4.43936e-06 t=5872
kan chu lai le 	看出來了	c=1 d=0.0109436 t=5872
kan dao 	看到	c=1 d=0.618783 t=5872
kan dao le 	看到了	c=1 d=0.666977 t=5872
kan kan 	看看	c=2 d=0.298197 t=5872
kan kan ke 	看看可	c=1 d=1.40567e-06 t=5872
kan le 	看了	c=1 d=8.69654e-05 t=5872
kan ni 	看你	c=1 d=0.83527 t=5872
kan xia 	看下	c=0 d=0.0112478 t=5872
kan zhe 	看着	c=1 d=0.657047 t=5872
ke 	可	c=4 d=0.927425 t=5872
ke ai 	可愛	c=1 d=0.19593 t=5872
ke bian 	可變	c=1 d=0.690734 t=5872
ke cheng 	課程	c=2 d=0.00984034 t=5872
ke da 	科達	c=18 d=1.28136 t=5872
ke fu 	客服	c=2 d=0.00504176 t=5872
ke hu duan 	客戶端	c=1 d=0.160414 t=5872
ke lian 	可憐	c=2 d=0.0189681 t=5872
ke neng 	可能	c=1 d=8.70447e-05 t=5872
ke pa 	可怕	c=3 d=0.941765 t=5872
ke shi 	可視	c=1 d=0.0272532 t=5872
ke shi mo shi 	可視模式	c=1 d=0.273898 t=5872
ke tiao zhuan 	可跳轉	c=1 d=0.00031751 t=5872
ke wu 	可惡	c=1 d=1.93578e-06 t=5872
ke xi 	可惜	c=1 d=0.242926 t=5872
ke xie 	可寫	c=4 d=0.0388349 t=5872
ke yi 	可以	c=8 d=2.37267 t=5872
ke yi yong 	可以用	c=1 d=2.22668e-06 t=5872
kong 	空	c=2 d=0.736517 t=5872
kong jun 	空軍	c=3 d=0.127205 t=5872
kong jun hang kong 	空軍航空	c=1 d=0.132655 t=5872
kong jun hang kong da xue 	空軍航空大學	c=1 d=0.0165727 t=5872
kong tiao 	空調	c=3 d=0.559945 t=5872
kong zhi 	控制	c=2 d=0.394553 t=5872
kong zhi zhen 	空指針	c=1 d=0.00618889 t=5872
kong zi fu 	空字符	c=1 d=0.600496 t=5872
kong zi fu chuan 	空字符串	c=2 d=1.25945 t=5872
ku 	哭	c=4 d=0.593182 t=5872
ku 	庫	c=11 d=0.0706512 t=5872
ku ku 	苦苦	c=1 d=2.44859e-06 t=5872
kua 	跨	c=2 d=0.618783 t=5872
kuai 	塊	c=1 d=0.852144 t=5872
kuai 	快	c=1 d=0.144873 t=5872
kuai dian 	快點	c=1 d=0.0236356 t=5872
kuai duo 	塊多	c=1 d=0.00132678 t=5872
kuai jie 	快捷	c=0 d=0.00902655 t=5872
kuai jie jian 	快捷鍵	c=6 d=1.05436 t=5872
kuai jie zhi ling 	快捷指令	c=2 d=0.182807 t=5872
kuai su 	快速	c=3 d=0.09734 t=5872
kuan 	寬	c=1 d=5.82947e-05 t=5872
kuang jia 	框架	c=1 d=0.0232837 t=5872
kuang zao 	狂躁	c=0 d=0.0111359 t=5872
kun 	困	c=1 d=0.0010701 t=5872
kuo hao 	括號	c=2 d=0.285107 t=5872
kuo hao nei 	括號內	c=1 d=0.0584256 t=5872
la 	啦	c=4 d=0.0412523 t=5872
la ji dui 	垃圾堆	c=0 d=0.00347353 t=5872
la qu 	拉去	c=1 d=4.22285e-06 t=5872
la xia lai 	拉下來	c=1 d=1.51514e-06 t=5872
lai 	來	c=2 d=0.0216013 t=5872
lai long qu mai 	來龍去脈	c=1 d=0.00852289 t=5872
lai ne 	來呢	c=0 d=0.0843665 t=5872
lai zhe 	來着	c=2 d=3.3604e-06 t=5872
lan jie 	攔截	c=1 d=0.0440432 t=5872
lan jie qi 	攔截器	c=8 d=0.887496 t=5872
lan ya 	藍牙	c=1 d=2.747e-06 t=5872
lao nian ren 	老年人	c=1 d=0.00289434 t=5872
lao shi 	老是	c=1 d=0.00670434 t=5872
le 	了	c=32 d=4.36849 t=5872
lei 	類	c=10 d=1.07142 t=5872
lei xing 	類型	c=36 d=11.2953 t=5872
leng 	冷	c=2 d=0.469164 t=5872
leng bei 	冷備	c=1 d=0.0642483 t=5872
li 	裏	c=3 d=0.88692 t=5872
li chang 	離場	c=0 d=0.000548905 t=5872
li jie 	理解	c=2 d=0.00640746 t=5872
li kai 	離開	c=3 d=0.0550946 t=5872
li kai shu 	離開數	c=1 d=0.0387742 t=5872
li mian 	裏面	c=3 d=0.663392 t=5872
li nu xing 	裏奴性	c=1 d=0.0902655 t=5872
li shi 	歷史	c=1 d=0.329559 t=5872
li shi 	里氏	c=0 d=0.00106734 t=5872
li shi ti huan 	里氏替換	c=1 d=0.0107269 t=5872
li xiao 	離校	c=1 d=0.00612731 t=5872
li yong 	利用	c=2 d=0.32628 t=5872
lian he 	聯合	c=1 d=2.56748e-05 t=5872
lian jie 	連接	c=3 d=0.706126 t=5872
lian jie 	鏈接	c=1 d=0.941765 t=5872
lian tong 	聯通	c=1 d=0.229925 t=5872
lian xu 	連續	c=1 d=0.0287247 t=5872
liang ci 	兩次	c=1 d=0.000422213 t=5872
liang du 	亮度	c=2 d=1.90722 t=5872
liang ge 	兩個	c=1 d=0.625002 t=5872
liang tai 	兩臺	c=7 d=0.279528 t=5872
liang tai fu wu qi 	兩臺服務器	c=2 d=0.069904 t=5872
liang wei 	兩位	c=1 d=0.00763509 t=5872
liao 	聊	c=0 d=0.00780817 t=5872
lie biao 	列表	c=16 d=0.523528 t=5872
ling chen 	凌晨	c=1 d=0.0678809 t=5872
ling long 	玲瓏	c=2 d=0.902017 t=5872
liu bo 	劉博	c=2 d=0.000239956 t=5872
liu dian 	六點	c=1 d=0.000357992 t=5872
liu ge yue 	六個月	c=1 d=0.241714 t=5872
liu lan 	瀏覽	c=3 d=0.0147656 t=5872
liu lan qi 	瀏覽器	c=1 d=0.0710054 t=5872
liu lang 	流浪	c=1 d=0.00398587 t=5872
liu liang 	流量	c=1 d=0.822835 t=5872
lo 	咯	c=0 d=0.00230521 t=5872
lou dong 	漏洞	c=2 d=0.215596 t=5872
lu ang 	魯昂	c=1 d=0.0156076 t=5872
lu jing 	路徑	c=7 d=2.49544 t=5872
lu you 	路由	c=1 d=0.0963276 t=5872
lu zhi 	錄製	c=1 d=0.0229166 t=5872
lu zhi hong 	錄製宏	c=1 d=0.0338776 t=5872
luan ma 	亂碼	c=1 d=0.81897 t=5872
lun huan 	輪換	c=1 d=0.00571306 t=5872
luo biao 	落膘	c=1 d=0.00188279 t=5872
luo ji 	邏輯	c=13 d=0.592283 t=5872
luo ji shan chu 	邏輯刪除	c=1 d=2.55468e-05 t=5872
lv 	率	c=1 d=0.000103704 t=5872
ma 	嗎	c=12 d=1.22512 t=5872
ma 	嘛	c=4 d=0.964781 t=5872
ma 	碼	c=9 d=0.506178 t=5872
ma fan 	麻煩	c=1 d=1.54575e-06 t=5872
mai 	買	c=2 d=0.00129016 t=5872
man ke 	滿課	c=1 d=0.00839603 t=5872
mang 	忙	c=1 d=0.767206 t=5872
mao 	貓	c=0 d=0.00323869 t=5872
mei 	每	c=2 d=0.390628 t=5872
mei 	沒	c=5 d=0.376037 t=5872
mei bao cuo 	沒報錯	c=1 d=4.2756e-05 t=5872
mei ci 	每次	c=1 d=0.213312 t=5872
mei cuo 	沒錯	c=1 d=0.373439 t=5872
mei dai 	沒帶	c=2 d=0.085435 t=5872
mei ge yue 	每個月	c=1 d=0.236928 t=5872
mei hao 	美好	c=1 d=0.000271921 t=5872
mei jian guo 	沒見過	c=1 d=0.0162445 t=5872
mei ju 	枚舉	c=2 d=0.105399 t=5872
mei ju lei 	枚舉類	c=1 d=0.00406639 t=5872
mei kai 	沒開	c=1 d=0.763379 t=5872
mei kong 	沒空	c=0 d=0.0860708 t=5872
mei kong ma 	沒空嗎	c=1 d=0.865022 t=5872
mei nong hao 	沒弄好	c=4 d=0.465334 t=5872
mei ri 	每日	c=1 d=0.0675424 t=5872
mei shi 	沒事	c=1 d=0.337902 t=5872
mei shu ju 	沒數據	c=1 d=0.000126534 t=5872
mei shui 	沒睡	c=0 d=0.019205 t=5872
mei shui jiao 	沒睡覺	c=1 d=0.193013 t=5872
mei tian 	每天	c=2 d=0.927743 t=5872
mei tui song 	沒推送	c=1 d=0.000125275 t=5872
mei wen ti 	沒問題	c=2 d=0.162838 t=5872
mei ye 	每頁	c=2 d=0.117933 t=5872
mei ye tiao shu 	每頁條數	c=1 d=0.115325 t=5872
mei ye xian shi 	每頁顯示	c=1 d=0.0168231 t=5872
mei yi chu 	沒一處	c=1 d=0.386741 t=5872
mei yi ci 	每一次	c=1 d=0.396531 t=5872
mei yong 	沒用	c=1 d=0.00159229 t=5872
mei you 	沒有	c=13 d=0.615697 t=5872
mei you quan xian 	沒有權限	c=1 d=0.00509243 t=5872
men 	們	c=1 d=0.000135709 t=5872
men hu 	門戶	c=1 d=0.0193512 t=5872
men jin 	門禁	c=6 d=0.893016 t=5872
men jin she bei 	門禁設備	c=1 d=0.19398 t=5872
mi 	咪	c=0 d=0.00229371 t=5872
mi ma 	密碼	c=11 d=0.292085 t=5872
mian shi 	面試	c=4 d=0.0035981 t=5872
mian shi ti 	面試體	c=1 d=0.000335463 t=5872
mian xiang 	面向	c=1 d=0.321506 t=5872
mian xiang hang 	面向行	c=1 d=0.519442 t=5872
miao shu 	描述	c=2 d=0.0110616 t=5872
min gan xing 	敏感性	c=1 d=0.0434997 t=5872
ming 	名	c=15 d=0.552192 t=5872
ming chao 	明朝	c=0 d=0.0810584 t=5872
ming cheng 	名稱	c=17 d=0.821823 t=5872
ming dan 	名單	c=0 d=0.000315111 t=5872
ming ling 	命令	c=21 d=3.29327 t=5872
ming ling hang 	命令行	c=3 d=7.62706e-06 t=5872
ming ming 	命名	c=3 d=0.581677 t=5872
ming tian 	明天	c=1 d=0.0773047 t=5872
ming zi 	名字	c=2 d=0.0208584 t=5872
mo ban 	模板	c=2 d=0.0356759 t=5872
mo hu 	模糊	c=3 d=0.16042 t=5872
mo kuai 	模塊	c=14 d=0.715338 t=5872
mo ni 	模擬	c=1 d=0.396531 t=5872
mo ren 	默認	c=9 d=0.522743 t=5872
mo shi 	模式	c=17 d=1.35543 t=5872
mou ge 	某個	c=1 d=2.8025e-06 t=5872
mu biao 	目標	c=2 d=0.0508614 t=5872
mu lu 	目錄	c=1 d=0.00105946 t=5872
mu qian 	目前	c=1 d=0.145148 t=5872
na 	那	c=3 d=0.174645 t=5872
na ge 	哪個	c=5 d=0.606531 t=5872
na ge 	那個	c=2 d=0.247833 t=5872
na hai 	那還	c=1 d=1.65783e-06 t=5872
na jiu 	那就	c=1 d=0.909373 t=5872
na tai 	那臺	c=2 d=0.00020461 t=5872
na wo 	那我	c=1 d=0.163714 t=5872
na wo bei pian le 	那我被騙了	c=1 d=0.000614317 t=5872
na xing 	那行	c=1 d=0.612626 t=5872
na yang 	那樣	c=1 d=0.358796 t=5872
nan 	男	c=2 d=0.133695 t=5872
nan shou 	難受	c=1 d=0.467666 t=5872
nan xing 	男性	c=2 d=0.134001 t=5872
nao zi 	腦子	c=2 d=0.0203754 t=5872
ne 	呢	c=3 d=1.54576 t=5872
nei 	內	c=0 d=0.00581342 t=5872
nei bu 	內部	c=1 d=0.00164502 t=5872
nei cun 	內存	c=2 d=0.172045 t=5872
nei rong 	內容	c=7 d=0.625306 t=5872
nei zhi 	內置	c=1 d=0.00752142 t=5872
neng 	能	c=3 d=0.213971 t=5872
neng kan dao 	能看到	c=1 d=0.843665 t=5872
neng li 	能力	c=1 d=0.0106734 t=5872
neng xuan 	能選	c=1 d=2.6e-06 t=5872
ni 	你	c=10 d=1.54976 t=5872
